Family,Genus ,Species,Common Name,Mean Mass (g),Max published length (cm),Calculated mass (g),,% BM,Alternate species used,a value,b value,Link,,,Aspect ratio of the caudal fin,congener,a,b,Calculated mass
Rajidae,Amblyraja,radiata,Thorny skate,360,105,9400,,3.83,,,,,,,NA,,,,
Rajidae,Amblyraja,radiata,Thorny skate,360,105,9400,,3.83,,,,,,,NA,,,,
Rajidae,Amblyraja,radiata,Thorny skate,360,105,9400,,3.83,,,,,,,NA,,,,
Rajidae,Amblyraja,radiata,Thorny skate,360,105,9400,,3.83,,,,,,,NA,,,,
Cyprinidae,Danio,rerio,Zebrafish,0.00007133,3.8,1.92,,0.00,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,0.00007133,3.8,1.92,,0.00,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,0.00007133,3.8,1.92,,0.00,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,0.00007133,3.8,1.92,,0.00,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,0.00007133,3.8,1.92,,0.00,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,0.00007133,3.8,1.92,,0.00,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,0.00007133,3.8,1.92,,0.00,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,0.00007133,3.8,1.92,,0.00,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,0.00007133,3.8,1.92,,0.00,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,0.4,3.8,1.92,,20.83,,,,,,,round,,,,
