Family,Genus ,Species,Common Name,Mean Mass (g),Max published length (cm),Calculated mass (g),,% BM,Alternate species used,a value,b value,Link,,,Aspect ratio of the caudal fin,congener,a,b,Calculated mass
Mormyridae,Petrocephalus ,degeni,,4.15,8.1,17.76,,23.37,,,,,,,cresent,,,,
Gasterosteidae,Gasterosteus,aculeatus,threespine stickleback,1.11,11,15.72,,7.06,,,,,,,round,,,,
Gasterosteidae,Gasterosteus,aculeatus,threespine stickleback,1.11,11,15.72,,7.06,,,,,,,round,,,,
Sciaenidae,Sciaenops,ocellatus,Red drum,91,155,42900,,0.21,,,,,,,round,,,,
Sciaenidae,Sciaenops,ocellatus,Red drum,91,155,42900,,0.21,,,,,,,round,,,,
Sciaenidae,Sciaenops,ocellatus,Red drum,91,155,42900,,0.21,,,,,,,round,,,,
Poeciliidae,Gambusia,holbrooki,mosquitofish,0.9,4.7,1.13,,79.65,,,,,,,round,,,,
Poeciliidae,Gambusia,holbrooki,mosquitofish,0.9,4.7,1.13,,79.65,,,,,,,round,,,,
Percichthyidae,Nannoperca ,australis,Pygmy perch,1.8,8.5,5.85,,30.77,,,,,,,round,,,,
Percichthyidae,Nannoperca ,australis,Pygmy perch,1.8,8.5,5.85,,30.77,,,,,,,round,,,,
Osphronemidae,Betta,splendens,Siamese fighting fish,0.0055,6.5,3.03,,0.18,Macropodus opercularis ,,,,,,round,,,,
Osphronemidae,Betta,splendens,Siamese fighting fish,0.015,6.5,3.03,,0.50,Macropodus opercularis ,,,,,,round,,,,
Osphronemidae,Betta,splendens,Siamese fighting fish,0.0036,6.5,3.03,,0.12,Macropodus opercularis ,,,,,,round,,,,
Osphronemidae,Trichopodus,trichopterus,three spot gourami,0.00361,15,110.86,,0.00,,,,,,,cresent,,,,
Osphronemidae,Trichopodus,trichopterus,three spot gourami,0.00335,15,110.86,,0.00,,,,,,,cresent,,,,
Osphronemidae,Trichopodus,trichopterus,three spot gourami,0.00511,15,110.86,,0.00,,,,,,,cresent,,,,
